mashiro_meme,nijisanji,UCS-XXTgVkotkbkDnGEprXpg,M,0
belmond_banderas,nijisanji,UCbc8fwhdUNlqi-J99ISYu4A,M,0
watarai_hibari,nijisanji,UC4l9gz3q65lTBFfFtW5LLeA,M,0
fulgur_ovid,nijisanji_en,UCGhqxhovNfaPBpxfCruy9EA,M,0
leos_vincent,nijisanji,UC-6rZgmxZSIbq786j3RD5ow,M,0
maimoto_keisuke,nijisanji,UCJubINhCcFXlsBwnHp0wl_g,M,0
kurohiko,independent,UCrhE2Aa-OnfgwUt5VG2oHog,M,1
nagao_kei,nijisanji,UCXW4MqCQn-jCaxlX-nn-BYg,M,0
kyo_kaneko,nijisanji_en,UCsb-1aJgiJXJH2feV-zlZRw,M,O
ex_albio,nijisanji,UCIytNcoz4pWzXfLda0DoULQ,M,0
dacapo,algorhythm_project,UCuZ1ajvlGFUMCHZAPdetKHw,M,1
souta_izumi,aka_virtual,UCv7rxNkDhRu-uyyLIQg2tew,M,1
kirschtorte,independent,UCCebCRguPlkvWemz2dKxWIA,M,0
shellin_burgundy,nijisanji,UCHBhnG2G-qN0JrrWmMO2FTA,M,0
uzuki_kou,nijisanji,UC3lNFeJiTq6L3UWoz4g1e-A,M,0
